id,name,fullname,vat,company_registry,mfo,ceo_id:id,dgf_status_id:id,dgf_statusdate,dgf_terminationdateplan,website,active
company_339038,"ПАТ ""ВЕКТОР БАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ВЕКТОР БАНК""",39037656,39037656,339038,person_2,dict_5,2021-08-12,,https://vector.fg.gov.ua,1
company_339339,"ПАТ ""МІСЬКИЙ КОМЕРЦІЙНИЙ БАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""МІСЬКИЙ КОМЕРЦІЙНИЙ БАНК""",34353904,34353904,339339,person_29,dict_6,2020-01-30,2020-01-30,https://mkbank.fg.gov.ua,0
company_339555,"ПАТ ""КБ ""ПРЕМІУМ""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КОМЕРЦІЙНИЙ БАНК ""ПРЕМІУМ""",35264721,35264721,339555,person_11,dict_2,2016-02-11,,https://premuim.fg.gov.ua,1
company_351588,"ПАТ ""РЕАЛ БАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""РЕАЛ БАНК""",14360721,14360721,351588,person_21,dict_6,2019-07-29,2019-07-29,https://realbank.fg.gov.ua,0
company_351663,"АТ БАНК ""МЕРКУРІЙ""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО БАНК ""МЕРКУРІЙ""",14360386,14360386,351663,person_21,dict_6,2019-07-30,2019-07-30,https://mercury.fg.gov.ua,0
company_351931,"АТ ""БАНК ЗОЛОТІ ВОРОТА""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК ЗОЛОТІ ВОРОТА""",20015529,20015529,351931,person_2,dict_3,2018-07-26,,https://goldengate.fg.gov.ua,1
company_353575,"БАНК ""ДЕМАРК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК ""ДЕМАРК""",19357516,19357516,353575,person_30,dict_6,2020-01-23,2020-01-23,https://demark.fg.gov.ua,0
company_377120,"ПАТ ""КОМЕРЦІЙНИЙ БАНК ""ГЕФЕСТ""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КОМЕРЦІЙНИЙ БАНК ""ГЕФЕСТ""",38770082,38770082,377120,person_31,dict_6,2019-07-26,2019-07-26,https://gefest.fg.gov.ua,0
company_377777,"ПАТ ""КБ ""УФС""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КОМЕРЦІЙНИЙ БАНК ""УКРАЇНСЬКИЙ ФІНАНСОВИЙ СВІТ""",26444836,26444836,377777,person_32,dict_6,2019-08-14,2019-08-14,https://ufc.fg.gov.ua,0
company_380054,"ПАТ"" КОМЕРЦІЙНИЙ БАНК ""ФІНАНСОВА ІНІЦІАТИВА""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КОМЕРЦІЙНИЙ БАНК ""ФІНАНСОВА ІНІЦІАТИВА""",33299878,33299878,380054,person_4,dict_5,2021-09-20,,https://finbank.fg.gov.ua,1
company_380236,"АТ ""ДЕЛЬТА БАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ДЕЛЬТА БАНК""",34047020,34047020,380236,person_14,dict_3,2019-05-16,,https://delta.fg.gov.ua,1
company_380292,"ПАТ ""КСГ БАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КСГ БАНК""",19364584,19364584,380292,person_1,dict_4,2016-08-31,,https://ksgbank.fg.gov.ua,1
